t_s,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,v_forward_mps,mean_slip,mean_wheel_torque_nm,power_w,energy_j,contact_count
0.002,-5.7,7.11160642057462e-38,0.10196076000000001,3.199778772001981e-34,-6.525367971095632e-36,-6.875375384952681e-37,4.1112874890037845e-38,0.0,0.0,0.0,0.0,4
0.05000000000000003,-5.7,-1.546632209824366e-20,0.08924700000000002,2.2153874520481773e-16,-1.56679647545082e-16,-1.2851001150857334e-32,-1.705919486988091e-18,0.0,0.0,0.0,0.0,15
0.10000000000000007,-5.7,-1.0431017491598291e-19,0.0519690000000001,1.559001783243846e-15,-1.5562443616410484e-15,5.2347325507394424e-18,-5.155757780052909e-17,0.0,0.0,0.0,0.0,20
0.1500000000000001,-5.7000626458222206,-2.413670127269954e-05,0.04999922136183063,-0.0001545601720121159,0.0007064350355003831,0.010419377689171819,-0.0015923065173762245,0.4247486850974151,0.0,0.0,0.0,26
0.20000000000000015,-5.700156718532506,-4.149766878548148e-05,0.04999794379991825,0.0019792424858793446,0.0016645798351344098,0.043735906819364845,-0.0022369756158656024,0.26710122463474145,0.0,0.0,0.0,26
0.25000000000000017,-5.700284271484197,-6.451273081770592e-05,0.050001065795403754,-0.001410974605792616,0.0009891165068994768,0.062249794523446506,-0.0028964034755252534,-0.08026534349986479,0.0,0.0,0.0,27
0.3000000000000002,-5.7004560847997965,-9.410576113203451e-05,0.05000018073653996,0.00032100275880214235,0.00027121074645740915,0.08727326622241238,-0.0039693300851622575,0.0933573809269579,0.0,0.0,0.0,27
0.35000000000000026,-5.70068261086391,-0.00012582209659897886,0.0499994451286,-0.0006661662898840678,0.0020436669841984024,0.11327348123492174,-0.004977224509581431,0.0754049476458976,0.0,0.0,0.0,27
0.4000000000000003,-5.700960263543177,-0.00018053713417123967,0.0500017119240111,0.0004247167540735962,-0.0007122478706342807,0.1189100389008742,-0.0059973453052194845,0.014853745132992913,0.0,0.0,0.0,27
0.45000000000000034,-5.7012798228858985,-0.00024609154013331816,0.050000703450557224,-0.000332729718166736,-0.0003184500288583418,0.11431560131784523,-0.006792113758953456,0.05004682572424887,0.0,0.0,0.0,27
