t_s,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,v_forward_mps,mean_slip,mean_wheel_torque_nm,power_w,energy_j,contact_count
0.002,-1.7000068139544917,0.0,0.1019613561437718,0.0,-0.0,0.0,-0.003406977245825173,3.406977245825173,0.0,0.0,0.0,4
0.05000000000000003,-1.7022145352097866,8.248705119062933e-21,0.08944074672583532,-1.1815399744256708e-16,1.3264035389778915e-16,-2.4349784868633193e-17,-0.08517443114562924,85.17443114562924,0.0,0.0,0.0,13
0.10000000000000007,-1.7086877919768546,-1.1084197503741806e-20,0.052729083309046285,1.629856161566048e-16,4.0092901150728564e-17,-9.266445908340982e-17,-0.1703488622912583,170.3488622912583,0.0,0.0,0.0,20
0.1500000000000001,-1.718622740899655,6.265633804312709e-06,0.04999649598325541,0.00028214272532623986,0.00020584782598037898,0.00616290399764551,-0.23627645558374105,-0.0016803639267268568,0.0,0.0,0.0,25
0.20000000000000015,-1.7324919408170234,1.1410709230684145e-05,0.04999516598843163,0.00044915642583029706,-5.435192795655048e-05,0.0028267983846983875,-0.31533395241056583,-0.0006205619422338989,0.0,0.0,0.0,19
0.25000000000000017,-1.750321759800529,1.7251676956001267e-05,0.04999558336239564,0.0003574122652126888,0.001309286029843525,-0.0010135840950639922,-0.3945801208406696,-0.002461274983322307,0.0,0.0,0.0,20
0.3000000000000002,-1.7721184778178067,2.7630205122325228e-05,0.04999472740613513,0.0007520376591210337,-0.0010983250860733796,-0.0027455562011840227,-0.4741122676866623,0.0017866864584641343,0.0,0.0,0.0,17
0.35000000000000026,-1.7978776681467747,4.723771325481998e-05,0.04999444747101694,-0.0008943526958304645,-0.0008982370174032474,-0.006914128718342451,-0.5532426301891458,0.0012376696151086357,0.0,0.0,0.0,18
0.4000000000000003,-1.8275895970121006,5.3108521265534996e-05,0.04999475774806667,0.0016782255167284788,-0.0003092354612824976,-0.010139494238739688,-0.6320941822591197,9.173752864495895e-05,0.0,0.0,0.0,16
0.45000000000000034,-1.861244249280146,6.419337302622798e-05,0.04999120222069197,-0.00016684105315801026,0.0030543248912466257,-0.015575084302976059,-0.7108446279772949,-0.001017995736968759,0.0,0.0,0.0,25
0.5000000000000003,-1.8988396400526397,7.831012056136515e-05,0.049990376261583716,-0.00020472666293597154,-3.040399595952944e-05,-0.0045348061023362815,-0.7897884097597614,0.0005623778247120504,0.0,0.0,0.0,25
0.5500000000000004,-1.940391392629482,9.243266153994142e-05,0.045752777661366206,0.0002174113493956382,-3.0198656626095843,-0.00947987637095475,-0.8803749375048393,0.5725290562606686,0.017280000000000136,1.3663450591216724,0.04033373764365968,19
0.6000000000000004,-1.982577416936587,-8.427090842174346e-05,0.03290815854838714,-1.151780674883139,-13.169365212571668,-0.1960183977613728,-0.7334769140943281,1.4795713797759507,0.03528000000000015,2.3630856355275536,0.1215875032879279,11
0.6500000000000005,-2.0201416593397226,-0.0005451641694494127,0.023775393871567973,0.4680679584166051,-19.39099122236439,-1.4381601920890636,-0.7690856692711173,6.347519287962793,0.013147904233030002,0.13857723607244546,0.1636137266157917,9
0.7000000000000005,-2.057616301835048,-0.0009013999716157133,0.004083197898870045,-0.16850461696406135,-33.31099974681485,-0.7914850204827337,-0.9225549867891514,3.4467307235593703,0.028470654606050843,1.4701825755514362,0.21005166631647232,6
