t_s,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,v_forward_mps,mean_slip,mean_wheel_torque_nm,power_w,energy_j,contact_count
0.002,-1.6999965800086545,0.0,0.1019609093200469,0.0,-0.0,0.0,0.0017099956727090531,-1.709995672709053,0.0,0.0,0.0,4
0.05000000000000003,-1.6988885028127387,3.810779829247777e-36,0.08929552901523605,-1.6683651597890746e-32,-1.725220819278683e-17,1.7600823336518384e-34,0.04274989181772625,-42.74989181772625,0.0,0.0,0.0,8
0.10000000000000007,-1.6956395110345914,2.7372218243893694e-19,0.052159383059772,-3.9974948466466155e-15,-2.56773705876828e-15,-2.6941157850955067e-18,0.08549978363545244,-85.49978363545242,0.0,0.0,0.0,16
0.1500000000000001,-1.690253024665558,5.5991952834284406e-18,-0.00940843786639199,-4.065199914055293e-14,-1.6776169939306674e-14,-7.047777765144072e-17,0.12824967545317806,-128.2496754531778,0.0,0.0,0.0,16
0.20000000000000015,-1.6827290437056381,8.905927112649145e-18,-0.09540793376325582,-8.777684314160221e-14,-6.067974840865423e-14,-2.1057281545134376e-16,0.1709995672709026,-170.9995672709024,0.0,0.0,0.0,16
0.25000000000000017,-1.673067568154832,1.8831593649262923e-17,-0.20583910463081947,-1.5046409015501976e-13,-1.1102976031597122e-13,-2.553617812856014e-16,0.2137494590886259,-213.74945908862486,0.0,0.0,0.0,16
0.3000000000000002,-1.6612685980131396,2.2221945735010328e-17,-0.34070195046908286,-1.9900531545605931e-13,-1.3402669442329889e-13,-5.591885872964968e-16,0.25649935090634995,-256.49935090634966,0.0,0.0,0.0,16
0.35000000000000026,-1.647332133280561,2.1803165229106763e-17,-0.49999647127804603,-1.9342423051906463e-13,-1.402355937720645e-13,-8.290739554611085e-16,0.299249242724075,-299.249242724077,0.0,0.0,0.0,16
0.4000000000000003,-1.6312581739570957,2.181263477015514e-17,-0.6837226670577092,-1.9372164457597026e-13,-1.8651881338520056e-13,-6.400626744328417e-16,0.34199913454179637,-341.999134541796,0.0,0.0,0.0,16
0.45000000000000034,-1.6130467200427443,2.218838192888419e-17,-0.891880537808072,-1.9947721244281897e-13,-1.8722254909337778e-13,2.7561754122614877e-16,0.3847490263595211,-384.74902635952316,0.0,0.0,0.0,16
0.5000000000000003,-1.5926977715375068,1.9273053546943242e-17,-1.1244700835291348,-1.9892008425691292e-13,-2.564420227792846e-13,1.433281836146293e-15,0.427498918177239,-427.49891817723847,0.0,0.0,0.0,16
0.5500000000000004,-1.570232111483162,1.7839730144132637e-17,-1.3814913574356151,-1.3826101956724118e-13,-0.29769642521094986,3.4717429819149056e-15,0.4410684314977188,-0.45206562794332483,0.017280000000000136,0.6998455487236531,0.008991071304146763,4
