t_s,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,v_forward_mps,mean_slip,mean_wheel_torque_nm,power_w,energy_j,contact_count
0.002,-5.536059038124684,0.0,-1.3622944754085473,0.0,-14.999999999999998,0.0,-0.005078029664911456,5.0780296649114565,0.0,0.0,0.0,0
0.05000000000000003,-5.536059038124684,0.0,-1.375008235408546,0.0,-14.999999999999998,0.0,-0.12695074162278636,126.95074162278635,0.0,0.0,0.0,0
0.10000000000000007,-5.536059038124684,0.0,-1.4122862354085473,0.0,-14.999999999999998,0.0,-0.25390148324557216,253.90148324557217,0.0,0.0,0.0,4
0.1500000000000001,-5.54931307833627,8.446750087799192e-06,-1.419644529601072,7.725266681921142e-05,-14.999466881694742,0.0016828784199651578,-0.3491049116858147,0.00035110651392213657,0.0,0.0,0.0,14
0.20000000000000015,-5.569087844461485,1.0367017002550109e-05,-1.4249424944993354,-0.00043645172419958536,-14.999873499349247,0.0044020893925784165,-0.4651226666043635,-0.0001547899136636041,0.0,0.0,0.0,12
0.25000000000000017,-5.594467100797429,7.113067818496217e-06,-1.4317419873218504,-0.0006115530076148343,-14.99916776869718,0.005696723549652899,-0.581144919427044,-0.0011043343988514482,0.0,0.0,0.0,11
0.3000000000000002,-5.625451897878398,-4.2924978292915577e-07,-1.4400467371156576,0.001026587359966158,-14.999984254891299,-0.0014933386481521878,-0.6973118794888058,-1.8327791739917364e-05,0.0,0.0,0.0,13
0.35000000000000026,-5.662046131393136,3.401198889806749e-06,-1.4498528332419354,-0.0005339617911705637,-14.99944246717935,0.0008887566677863211,-0.813468130013107,0.00043471324235053947,0.0,0.0,0.0,21
0.4000000000000003,-5.7042185408503085,1.1747664647484723e-05,-1.461357831760066,0.004973708334496788,-15.101694625818872,-0.006146232465097735,-0.9332456256935614,0.047280999516087704,0.0,0.0,0.0,21
0.45000000000000034,-5.749853114553899,6.134144631872087e-05,-1.4848300640146925,0.006640073138752019,-20.718921582830458,-0.024281430859597542,-1.099151877631813,0.3653396993090862,0.0,0.0,0.0,16
0.5000000000000003,-5.796632594138227,0.00013387484105646457,-1.5156773526226608,0.026328043119127058,-29.784658943618915,-0.05718544365511374,-1.0289735772733906,0.17179604100481263,0.0,0.0,0.0,14
0.5500000000000004,-5.843695885309886,0.0006085818656746041,-1.5444347311920352,0.07354970532353909,-37.881537197985935,-0.26423494386631563,-1.1967867169276827,0.8005359797344144,0.028800000000000225,1.934372318426576,0.05176953835487592,15
