t_s,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,v_forward_mps,mean_slip,mean_wheel_torque_nm,power_w,energy_j,contact_count
0.002,-5.7,0.0,0.11696076000000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.05000000000000003,-5.7,8.549115835964869e-21,0.104247,-1.2245706399231094e-16,8.701413216188495e-17,1.2900043126209474e-31,1.0210382618881708e-18,0.0,0.0,0.0,0.0,0
0.10000000000000007,-5.7,2.137278958991204e-20,0.06696900000000008,-3.123898718298071e-16,3.7988012315252843e-16,3.7958698871266764e-31,7.332558493652882e-18,0.0,0.0,0.0,0.0,4
0.1500000000000001,-5.700100000849081,-4.633783953602431e-06,0.06499147258727583,-0.005123152654339223,0.00014860632313612966,0.0061148331581732185,-0.0023588700635707883,0.003380579866376538,0.0,0.0,0.0,21
0.20000000000000015,-5.70023922677408,-9.279430663715009e-06,0.06499675075038619,-0.0014315618805888217,-0.00032089453886349615,0.016572932572743972,-0.003265807212900739,0.10038346235190143,0.0,0.0,0.0,21
0.25000000000000017,-5.7004299238747365,-1.57171196907306e-05,0.06499787481448363,-0.0002608445264753067,-0.00033642538181850217,0.03283227341091582,-0.00434576717938588,0.036221530638333346,0.0,0.0,0.0,21
0.3000000000000002,-5.700679490634896,-1.7137212189263453e-05,0.06499783607555876,0.0006592633296288434,0.0001394901151798591,0.0519778408073919,-0.005615041259772614,0.04856059124478168,0.0,0.0,0.0,21
0.35000000000000026,-5.7009934261064865,-1.2076717116887793e-05,0.06499626345507119,0.00126668356871171,0.00039248771229957074,0.06593888907352158,-0.006892888886763735,-3.723798148359131e-05,0.0,0.0,0.0,21
0.4000000000000003,-5.701371506801138,-1.3074175606418549e-05,0.06499647413115049,0.0014054443001746935,-0.00016393907539284671,0.06928219209385224,-0.00803241904282804,-0.005381809004411105,0.0,0.0,0.0,21
0.45000000000000034,-5.701797442102757,-1.1348017327114944e-05,0.0649956985110098,0.0010578249426866568,-7.083520239925775e-05,0.06937197190786937,-0.008964510426923662,-0.005042867781949914,0.0,0.0,0.0,21
0.5000000000000003,-5.702270234659672,-1.0835004139505994e-05,0.0649961972136698,-7.580327247672459e-05,0.0010909850706670025,0.07004170271292627,-0.00990037827222388,-0.00806093334820136,0.0,0.0,0.0,21
0.5500000000000004,-5.702470440320196,-1.1235675272066359e-05,0.06499455024851397,0.0017004751818680685,-1.1430016720509112e-06,0.06942814772257067,0.0082622965898022,0.06349584359391623,0.028800000000000225,0.02258881368633717,0.00031487932256886924,18
0.6000000000000004,-5.700638904413184,-6.04218802029826e-06,0.06499894581728345,0.00013728604765857817,0.00012818552038219814,0.07030735384051372,0.0696721908486859,0.003592907629695884,0.05880000000000025,0.36546699542376787,0.0082759695735402,18
0.6500000000000005,-5.694614211812964,8.639939120245177e-07,0.06500075988675154,0.00011925823100770861,-0.0004363378075460286,0.07300632117245301,0.17430112912473836,0.0068165355988031385,0.08880000000000028,1.3853191242301894,0.049482701786812994,13
0.7000000000000005,-5.68245826693851,1.650526071208381e-05,0.06507876499894334,-0.0001257361809375087,-0.03960264049223277,0.07340836820725742,0.3095112645037323,0.23296915780551783,0.09985316341248598,3.6901745529448324,0.18506239184085668,10
0.7500000000000006,-5.663181439078242,4.133862394311641e-05,0.06505791211707015,-9.752339222572291e-05,-0.0065486620170000336,0.0734186369582807,0.4556737362217471,0.16897279888951877,0.09325173771040965,4.5232419892039415,0.4013103605223981,7
0.8000000000000006,-5.636701417738721,7.517565173137966e-05,0.06500109682099399,-1.8333179168399476e-05,0.000324128582382146,0.07326782869444297,0.5892261936130474,-0.00025643183110685966,0.0636480474017228,3.332753971133358,0.6137779265016899,12
0.8500000000000006,-5.605525022107902,0.00011590194339724303,0.06500078208332281,-0.0002918200843898039,0.00022494801279030995,0.07326543459959653,0.6455834428652193,1.4873678934543901e-05,0.021782929385471106,1.2500362364832374,0.7183474818204036,8
0.9000000000000007,-5.572669987771085,0.00015664557444332872,0.06500108160109548,2.189931671631941e-05,0.00039414389701218855,0.07392041900241823,0.6645385839541085,-0.0001723625383457754,0.007834027980266861,0.4626770355328372,0.7568691183709748,8
0.9500000000000007,-5.5392495296120625,0.00020085990112048583,0.06500138642843885,-0.00011671886845548803,-0.00040503617871678774,0.07487882409636162,0.6708807046889023,0.0004623690851795531,0.0028214452255553857,0.16833117015463808,0.7712786198163006,12
1.0000000000000007,-5.505638609651386,0.00024536392735655316,0.06500174546808302,2.3569171525631854e-05,8.852160249917448e-05,0.07584184527874391,0.6730513480374761,-0.00023766801481939714,0.001561908651763852,0.0934217697921395,0.7774418830837344,8
1.0500000000000007,-5.471963718872018,0.00029043094489515273,0.0650016759996686,-1.5487842435022995e-05,7.777053863009256e-05,0.0768777247844499,0.6737750155062815,0.00014791651191120946,0.0008335608167645003,0.04993026142528081,0.7807623358010825,12
1.1000000000000008,-5.4382677339168275,0.00033832247783508785,0.06500150066386795,7.601557613624e-05,0.00027763116723317964,0.07614691900749972,0.6740359320957775,-0.00023802849342979086,0.0008329381783813566,0.0498929059004239,0.7831633854050882,12
1.1500000000000008,-5.404563504467167,0.00037238192097130467,0.06500073354609105,-0.0001458844779970514,-8.488837327794076e-05,0.08085134133336397,0.6741147931971385,0.00031636259040951657,0.0004976834303608707,0.029831195279106826,0.7851713835158669,12
1.2000000000000008,-5.3708567752042695,0.0004223435229694576,0.06500114607273844,5.5420087905267315e-05,0.0001910819057203768,0.07877288071144031,0.6741720391296047,-0.0003554618093564641,0.0007907540100540594,0.047370195980467475,0.7871023175699742,8
1.2500000000000009,-5.337149067713521,0.00045973309537864203,0.06500137600608687,0.00017650758049524078,-4.209390286434396e-05,0.08554877721825088,0.6741550325824223,0.00018514480617759862,0.0005334280032387728,0.031971525996098836,0.7889631691815133,8
